"Fidelity Investments - Watch List 7k Portfolio"

"Quote data as of 09/28/2020 5:41 PM ET."

"Watch Closely","Symbol","Name","Note","Curr","Last Trade","Tick","Change Since Close","Change Since Close (%)","Day High","Day Low","Volume","52Wk High","52Wk Low","Date & Time"
"true","WMT","WALMART INC","",USD,"$137.25","down","-$0.02","-0.0146%","$138.05","$136.72","7,054,667","$151.33","$102.00","09/28/2020 04:10PM"
"true","VRTX","VERTEX PHARMACEUTICALS INC","",USD,"$267.73","down","-$0.45","-0.1678%","$270.585","$264.23","1,102,663","$306.08","$165.23","09/28/2020 04:00PM"
"true","ISRG","INTUITIVE SURGICAL INC","",USD,"$693.16","up","+$19.43","+2.8839%","$695.56","$680.03","650,428","$778.83","$360.50","09/28/2020 04:00PM"
"true","VO","VANGUARD MID-CAP INDEX FUND","",USD,"$176.23","up","+$3.33","+1.926%","$176.53","$174.69","599,271","$186.74","$110.05","09/28/2020 04:10PM"
"true","BRK/B","BERKSHIRE HATHAWAY INC","",USD,"$213.54","up","+$3.09","+1.4683%","$215.47","$212.0206","5,043,019","$231.61","$159.50","09/28/2020 04:10PM"
"true","IBM","INTERNATIONAL BUSINESS MACHINES CORP","",USD,"$121.73","up","+$2.78","+2.3371%","$122.33","$120.41","3,509,261","$158.75","$90.56","09/28/2020 04:10PM"
"true","ORCL","ORACLE CORP","",USD,"$59.58","down","-$0.22","-0.3679%","$60.54","$59.47","9,350,545","$62.5999","$39.71","09/28/2020 04:10PM"
"true","APD","AIR PRODUCTS AND CHEMICALS INC","",USD,"$292.67","up","+$1.96","+0.6742%","$295.81","$292.13","742,205","$310.735","$167.43","09/28/2020 04:10PM"
"true","BMY","BRISTOL-MYERS SQUIBB CO","",USD,"$59.71","up","+$0.22","+0.3698%","$60.21","$58.96","9,615,555","$68.34","$45.76","09/28/2020 04:10PM"
"true","DIS","WALT DISNEY CO","",USD,"$125.99","up","+$1.99","+1.6048%","$126.86","$125.37","6,265,292","$153.41","$79.07","09/28/2020 04:10PM"
"true","HD","HOME DEPOT INC","",USD,"$272.33","up","+$3.78","+1.4076%","$274.22","$270.30","3,060,475","$292.95","$140.63","09/28/2020 04:10PM"
"true","MMM","3M CO","",USD,"$161.66","up","+$1.39","+0.8673%","$164.14","$161.33","2,098,000","$182.545","$114.04","09/28/2020 04:10PM"
"true","NOW","SERVICENOW INC","",USD,"$484.21","up","+$4.24","+0.8834%","$488.40","$478.97","1,257,623","$501.82","$213.99","09/28/2020 04:10PM"
"true","TGT","TARGET CORP","",USD,"$156.46","up","+$2.11","+1.367%","$157.71","$154.65","3,626,613","$157.71","$90.17","09/28/2020 04:10PM"
