"Fidelity Investments - Watch List 7K Portfolio II"

"Quote data as of 09/28/2020 5:44 PM ET."

"Watch Closely","Symbol","Name","Note","Curr","Last Trade","Tick","Change Since Close","Change Since Close (%)","Day High","Day Low","Volume","52Wk High","52Wk Low","Date & Time"
"false","MA","MASTERCARD INC","",USD,"$338.39","up","+$6.61","+1.9923%","$340.57","$335.81","3,122,102","$367.25","$199.99","09/28/2020 04:10PM"
"false","MRK","MERCK &amp; CO INC","",USD,"$82.76","down","-$0.17","-0.205%","$83.70","$82.56","5,840,672","$92.64","$65.25","09/28/2020 04:10PM"
"false","NKE","NIKE INC","",USD,"$124.32","up","+$0.09","+0.0724%","$126.19","$123.885","7,507,489","$130.38","$60.00","09/28/2020 04:10PM"
"false","PFE","PFIZER INC","",USD,"$36.39","up","+$0.34","+0.9431%","$36.575","$36.16","14,245,895","$40.97","$27.88","09/28/2020 04:10PM"
"false","PLD","PROLOGIS INC","",USD,"$100.03","up","+$2.36","+2.4163%","$100.20","$98.37","2,298,692","$106.73","$59.82","09/28/2020 04:10PM"
"false","RTX","RAYTHEON TECHNOLOGIES CORP","",USD,"$58.89","up","+$1.40","+2.4352%","$59.57","$58.09","5,455,482","$93.4475","$40.709","09/28/2020 04:10PM"
"false","SHLX","SHELL MIDSTREAM PARTNERS LP","",USD,"$9.49","up","+$0.26","+2.8169%","$9.535","$9.19","677,435","$22.70","$5.70","09/28/2020 04:10PM"
"false","T","AT&amp;T INC","",USD,"$28.38","up","+$0.34","+1.2126%","$28.65","$28.24","30,464,746","$39.70","$26.08","09/28/2020 04:10PM"
"false","TMO","THERMO FISHER SCIENTIFIC INC","",USD,"$428.39","up","+$6.10","+1.4445%","$431.12","$424.04","1,110,691","$441.96","$250.21","09/28/2020 04:10PM"
"false","TMUS","T-MOBILE US INC","",USD,"$114.24","up","+$2.22","+1.9818%","$114.48","$112.485","5,850,164","$119.20","$63.50","09/28/2020 04:00PM"
"false","VXUS","VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND","",USD,"$52.19","up","+$0.70","+1.3595%","$52.2734","$52.0535","2,210,364","$56.66","$36.4193","09/28/2020 04:00PM"
"false","VZ","VERIZON COMMUNICATIONS INC","",USD,"$59.36","down","-$0.03","-0.0505%","$59.795","$59.183","11,908,263","$62.22","$48.84","09/28/2020 04:10PM"
"false","ZTS","ZOETIS INC","",USD,"$161.32","up","+$0.48","+0.2984%","$164.3424","$161.16","2,293,851","$165.82","$90.14","09/28/2020 04:10PM"
"false","BLK","BLACKROCK INC","",USD,"$558.65","up","+$10.84","+1.9788%","$563.94","$554.00","567,029","$609.69","$323.98","09/28/2020 04:10PM"
"false","SYK","STRYKER CORP","",USD,"$207.25","up","+$2.24","+1.0926%","$210.15","$207.01","1,219,066","$226.30","$124.54","09/28/2020 04:10PM"
"Date/Time in Eastern time. Past performance is no guarantee of future results."

"Securities that you have chosen to watch closely are highlighted with a red flag on your watch list for simplified self-monitoring."
"Please note that the Watch Closely feature has been created solely for customers' personal use. Fidelity does not proactively"
"monitor these securities any differently than other securities in your watch lists."

"This information is provided for information purposes only and should not be used or construed as an indicator of future"
"performance, an offer to sell, a solicitation of an offer to buy, or a recommendation for any security."
"Fidelity cannot guarantee the suitability or potential value of any particular investment."


"504444.2.0"
