"Fidelity Investments - Watch List ETF's and INDEX's"

"Quote data as of 09/19/2020 11:22 PM ET."

"Watch Closely","Symbol","Name","Note","Curr","Last Trade","Tick","Change Since Close","Change Since Close (%)","Day High","Day Low","Volume","52Wk High","52Wk Low","Date & Time"
"false","FXAIX","FIDELITY 500 INDEX FUND","",USD,"$115.51","down","-$1.30","-1.11%","n/a","n/a","n/a","$124.51","$77.93","09/18/2020"
"false","FSPGX","FIDELITY LARGE CAP GROWTH INDEX FUND","",USD,"$20.79","down","-$0.22","-1.05%","n/a","n/a","n/a","$23.19","$13.12","09/18/2020"
"false","FLOWX","FIDELITY WATER SUSTAINABILITY FUND","",USD,"$11.61","down","-$0.10","-0.85%","n/a","n/a","n/a","$11.96","$9.83","09/18/2020"
"false","IEMG","ISHARES CORE MSCI EMERGING MARKETS ETF","",USD,"$53.31","down","-$0.45","-0.8371%","$53.85","$53.27","7,297,701","$55.45","$35.655","09/18/2020 04:10PM"
"false","ITOT","ISHARES TRUST S &amp; P 1500","",USD,"$74.97","down","-$0.76","-1.0036%","$76.00","$74.2717","1,120,136","$80.63","$48.52","09/18/2020 04:10PM"
"true","IWF","ISHARES TRUST RUSSELL 1000","",USD,"$209.67","down","-$2.22","-1.0477%","$213.23","$206.96","1,805,765","$234.27","$128.23","09/18/2020 04:10PM"
"false","VUG","VANGUARD GROWTH INDEX FUND","",USD,"$220.44","down","-$2.72","-1.2189%","$224.44","$217.66","897,590","$246.0799","$133.573","09/18/2020 04:10PM"
"false","SPY","SPDR S&amp;P 500 ETF TRUST","",USD,"$330.65","down","-$3.8508","-1.1512%","$335.49","$327.97","105,877,942","$358.75","$218.26","09/18/2020 04:10PM"
"false","VOO","VANGUARD 500 INDEX FUND","",USD,"$305.00","down","-$3.59","-1.1634%","$309.48","$302.55","3,421,015","$329.67","$200.55","09/18/2020 04:10PM"
"false","XLK","TECHNOLOGY SELECT SECTOR SPDR FUND","",USD,"$111.76","down","-$1.96","-1.7235%","$114.11","$110.3821","20,918,798","$127.72","$68.10","09/18/2020 04:10PM"
"false","MGK","VANGUARD MEGA CAP GROWTH INDEX FUND","",USD,"$178.90","down","-$2.69","-1.4814%","$182.59","$176.945","340,536","$201.47","$108.5985","09/18/2020 04:10PM"
"false","VYM","VANGUARD HIGH DIVIDEND YIELD INDEX FUND","",USD,"$82.52","down","-$0.66","-0.7935%","$83.265","$82.11","1,697,980","$94.86","$60.07","09/18/2020 04:10PM"
"false","DIA","SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST","",USD,"$276.52","down","-$2.3832","-0.8545%","$279.40","$274.7731","3,156,714","$295.87","$182.10","09/18/2020 04:10PM"
"false","GSLC","GOLDMAN SACHS ACTIVEBETA US LARGE CAP EQUITY ETF","",USD,"$67.10","down","-$0.73","-1.0762%","$68.08","$66.5139","492,364","$72.47","$44.3013","09/18/2020 04:10PM"
"false","DSI","ISHARES FTSE KLD 400 SOCIAL INDEX FUND","",USD,"$127.04","down","-$1.34","-1.0438%","$128.90","$125.92","70,972","$136.975","$82.98","09/18/2020 04:10PM"
"false","VIG","VANGUARD DIVIDEND APPRECIATION INDEX FUND","",USD,"$128.33","down","-$0.98","-0.7579%","$129.55","$127.51","1,914,911","$134.24","$87.7113","09/18/2020 04:10PM"
"false","ITOT","ISHARES TRUST S &amp; P 1500","",USD,"$74.97","down","-$0.76","-1.0036%","$76.00","$74.2717","1,120,136","$80.63","$48.52","09/18/2020 04:10PM"
"true","QQQ","INVESCO QQQ TRUST SERIES 1","",USD,"$266.87","down","-$3.45","-1.2763%","$272.09","$262.63","86,251,117","$303.50","$164.93","09/18/2020 04:00PM"
"false","QQQE","DIREXION NASDAQ-100 EQUAL WEIGHTED INDEX SHARES","",USD,"$62.51","down","-$0.6113","-0.9685%","$63.3816","$61.8424","16,342","$68.35","$40.13","09/18/2020 04:10PM"
"false","VGT","VANGUARD INFORMATION TECHNOLOGY ETF","",USD,"$297.37","down","-$4.43","-1.4679%","$302.65","$293.66","1,109,843","$340.74","$179.45","09/18/2020 04:10PM"
"false","FDFIX","FIDELITY FLEX 500 INDEX FUND","",USD,"$14.20","down","-$0.16","-1.11%","n/a","n/a","n/a","$15.30","$9.57","09/18/2020"
"Date/Time in Eastern time. Past performance is no guarantee of future results."

"Securities that you have chosen to watch closely are highlighted with a red flag on your watch list for simplified self-monitoring."
"Please note that the Watch Closely feature has been created solely for customers' personal use. Fidelity does not proactively"
"monitor these securities any differently than other securities in your watch lists."

"This information is provided for information purposes only and should not be used or construed as an indicator of future"
"performance, an offer to sell, a solicitation of an offer to buy, or a recommendation for any security."
"Fidelity cannot guarantee the suitability or potential value of any particular investment."


"504444.2.0"
